name,specialneeds,bestsize,lifestage,social,sex,breed,id
Trixie,n,m,d,sp,f ,Australian Shepherd,63933
HBC Beagle - Minnie,y,m,d,sp,f ,Beagle,62120
Bunny,n,m,p,sp,f ,Beagle,64365
Lucy Farmer,n,m,s,sp,f ,Beagle,64608
Lucky,n,m,s,sp,f ,Beagle,64528
Jax,n,m,p,sp,m ,Beagle/Border Collie Mix,64402
Buster,n,m,p,sp,m ,Beagle/Border Collie Mix,64401
Dutchess,n,l,s,sp,f ,Beagle/Bully Breed Mix,61630
Cleo,n,l,a,sp,f ,Bernese Mountain Dog,64244
Baby,n,s,s,sp,f ,Bichon Frise,55787
Wendy,n,l,s,sg,f ,Bloodhound,64270
Bella,n,s,a,sg,f ,Boston Terrier,63984
Deacon,n,l,d,sg,m ,Bouvier des Flanders,64314
Daphne,n,l,s,sg,f ,Bouvier des Flanders,64313
Kabri,n,l,a,sg,f ,Boxer/Hound Mix,64167
Nobel,n,m,d,sg,m ,Bull Terrier,64515
Leo,n,l,a,sg,m ,Bully Breed Mix,64553
Chato,n,l,a,sg,m ,Bully Breed Mix,64463
Roxie,n,l,a,sg,f ,Bully Breed Mix,64377
Russell,n,l,a,sg,m ,Bully Breed Mix,64372
Willis,n,l,a,cc,m ,Bully Breed Mix,64291
Winston,n,l,a,cc,m ,Bully Breed Mix,64279
Boston,n,l,a,cc,m ,Bully Breed Mix,64165
Jax,n,l,a,cc,m ,Bully Breed Mix,64134
Nila,n,l,a,cc,f ,Bully Breed Mix,64044
CV,n,l,a,cc,m ,Bully Breed Mix,64027
Stout,n,l,a,cc,m ,Bully Breed Mix,63982
Stellan,n,l,a,cc,m ,Bully Breed Mix,63981
Sheeba,n,l,a,cc,f ,Bully Breed Mix,63980
Roscoe,n,l,a,cc,m ,Bully Breed Mix,63901
Skye,y,l,d,sp,f ,Bully Breed Mix,61917
Welches,n,l,d,sp,m ,Bully Breed Mix,64215
Precious,n,l,d,sp,f ,Bully Breed Mix,64183
Panda Bear,n,l,d,sp,m ,Bully Breed Mix,64182
Eli,n,l,d,sp,m ,Bully Breed Mix,64081
Solo,n,l,d,sp,m ,Bully Breed Mix,64060
Hank,n,l,s,sp,m ,Bully Breed Mix,64192
Duke,n,l,d,sp,m ,Catahoula Leopard Dog/Mountain Cur Mix,64422
